parcel_type,n_features,n_informative,n_classes,n_samples,sklearn_time,sklearn_accuracy,cuml_time,cuml_accuracy
sklearn_non_parallel,1000,10.0,8,3000,1.514798641204834,0.12433333333333334,,
sklearn_non_parallel,1000,10.0,8,3000,1.8091673851013184,0.12766666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.7975795269012451,0.125,,
sklearn_non_parallel,1000,10.0,8,3000,1.7486553192138672,0.126,,
sklearn_non_parallel,1000,10.0,8,3000,1.8182857036590576,0.12066666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,1.1809358596801758,0.121,,
sklearn_non_parallel,1000,10.0,8,3000,1.1946594715118408,0.124,,
sklearn_non_parallel,1000,10.0,8,3000,1.5172178745269775,0.13266666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.76944899559021,0.13366666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,1.8339123725891113,0.12733333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,1.512303352355957,0.12566666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,1.3920974731445312,0.13266666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.7738533020019531,0.125,,
sklearn_non_parallel,1000,10.0,8,3000,1.6965365409851074,0.13066666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.769178867340088,0.127,,
sklearn_non_parallel,1000,10.0,8,3000,1.6188600063323975,0.12766666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.7814421653747559,0.13133333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,1.7964098453521729,0.13,,
sklearn_non_parallel,1000,10.0,8,3000,1.8057639598846436,0.129,,
sklearn_non_parallel,1000,10.0,8,3000,1.7527046203613281,0.13833333333333334,,
sklearn_non_parallel,1000,10.0,8,3000,1.7189157009124756,0.12966666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.7624144554138184,0.13433333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,1.5199737548828125,0.12566666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,1.8202228546142578,0.13066666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,1.6789851188659668,0.12466666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,1.841813325881958,0.125,,
sklearn_non_parallel,1000,10.0,8,3000,1.6512093544006348,0.14033333333333334,,
sklearn_non_parallel,1000,10.0,8,3000,1.7230141162872314,0.13266666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.3684356212615967,0.127,,
sklearn_non_parallel,1000,10.0,8,3000,1.7932169437408447,0.11633333333333332,,
sklearn_non_parallel,1000,10.0,8,3000,1.821911096572876,0.131,,
sklearn_non_parallel,1000,10.0,8,3000,1.7762317657470703,0.128,,
sklearn_non_parallel,1000,10.0,8,3000,1.3457095623016357,0.12866666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,1.8102409839630127,0.13199999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,1.7650806903839111,0.13133333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,1.5135114192962646,0.11800000000000002,,
sklearn_non_parallel,1000,10.0,8,3000,1.3732757568359375,0.12733333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,1.8308696746826172,0.11666666666666667,,
sklearn_non_parallel,1000,10.0,8,3000,1.8139042854309082,0.12733333333333335,,
sklearn_non_parallel,1000,10.0,8,3000,1.2286672592163086,0.12233333333333334,,
sklearn_non_parallel,1000,10.0,8,3000,1.8231520652770996,0.13833333333333334,,
sklearn_non_parallel,1000,10.0,8,3000,1.8117992877960205,0.13433333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,1.7570891380310059,0.12733333333333335,,
sklearn_non_parallel,1000,10.0,8,3000,1.7469866275787354,0.13166666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,1.7892239093780518,0.13266666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.4765052795410156,0.13099999999999998,,
sklearn_non_parallel,1000,10.0,8,3000,1.6793317794799805,0.13066666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.6644070148468018,0.13033333333333336,,
